contract_id,contract_type,party_a,party_b,effective_date,expiration_date,contract_period_days,status,governing_law,renewal_type,notice_period_days
CTR-0037,Employment Agreement,BlueWave Systems,Nova Industries,2025-02-07,2028-02-07,1095,Expired,New York,Auto-Renew,60
CTR-0038,Vendor Agreement,BlueWave Systems,Vertex Innovations,2025-02-08,2027-02-08,730,Draft,Karnataka,Auto-Renew,60
CTR-0039,NDA,AlphaTech Solutions,Nova Industries,2025-02-09,2028-02-09,1095,Expired,New York,Auto-Renew,60
CTR-0040,Vendor Agreement,BlueWave Systems,BlueWave Systems,2025-02-10,2026-02-10,365,Active,England & Wales,None,90
CTR-0041,NDA,BlueWave Systems,AlphaTech Solutions,2025-02-11,2027-02-11,730,Active,New York,Auto-Renew,30
CTR-0042,Vendor Agreement,BlueWave Systems,BlueWave Systems,2025-02-12,2028-02-12,1095,Expired,California,None,60
CTR-0043,Employment Agreement,Vertex Innovations,BlueWave Systems,2025-02-13,2026-02-13,365,Active,Karnataka,None,60
CTR-0044,NDA,AlphaTech Solutions,BlueWave Systems,2025-02-14,2027-02-14,730,Active,New York,Auto-Renew,90
CTR-0045,Shareholder Agreement,AlphaTech Solutions,AlphaTech Solutions,2025-02-15,2027-02-15,730,Active,California,None,30
CTR-0046,Vendor Agreement,Vertex Innovations,Nova Industries,2025-02-16,2027-02-16,730,Active,New York,Manual,30
CTR-0047,Vendor Agreement,Nova Industries,AlphaTech Solutions,2025-02-17,2027-02-17,730,Draft,England & Wales,None,90
CTR-0048,Vendor Agreement,Nova Industries,Nova Industries,2025-02-18,2026-02-18,365,Draft,Karnataka,Auto-Renew,90
CTR-0049,Shareholder Agreement,Nova Industries,BlueWave Systems,2025-02-19,2027-02-19,730,Active,Karnataka,Manual,30
CTR-0050,Vendor Agreement,Nova Industries,Vertex Innovations,2025-02-20,2027-02-20,730,Draft,New York,Auto-Renew,30
